ID,ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
199,11301552846,Victoria's Heritage Restoration Fund Inc,,Business,6 Parliament Place,,,East Melbourne,VIC,3002,Australia,www.vhrf.com.au,3/12/2012,1/01/1988,Small,9,30-Jun,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
200,11302872347,Indonesian Christian Family Church,,Business,224 Danks Street,,,Albert Park,VIC,3206,Australia,www.ensamplechurch.org,3/12/2012,1/01/2005,Small,4,30-Jun,,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,Y,Y,Y,,,,Y,,,,,,,,,,,,,Y
201,11303610911,Eschol Park Public School P&C Association,,Business,Eschol Park Drive,,,Eschol Park,NSW,2558,Australia,,3/12/2012,1/01/1999,Small,2,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
202,11307521909,Goomalling Mens Shed And Prostate Group Incorporated,"Goomalling Men""s Shed",Business,45 Williams St,,,Goomalling,Western Australia,6460,Australia,https://mensshedswa.org.au,3/12/2012,1/01/2011,Small,1,31-Dec,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,
203,11308202509,Sandy Bay Senior Citizens Club Inc,,Business,23 Lambert Ave,,,Sandy Bay,Tasmania,7005,Australia,,3/12/2012,1/01/1972,Small,5,31-May,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
204,11311421406,The Trustee For The Thomas Memorial Fund,,Business,GPO Box 2307,,,Melbourne,VIC,3001,AUSTRALIA,,3/12/2012,1/01/1980,Small,7,30-Jun,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
205,11311764284,Blacktown Church Of Christ,,Business,2 Broad St,,,Prospect,New South Wales,2148,Australia,blacktownchurchofchrist.org.au,3/12/2012,1/01/1962,Small,2,30-Jun,,,,,,,,,FJI,,,,,,,,,,,,Y,,,,Y,Y,Y,Y,,Y,Y,Y,,,Y,Y,,,,,Y,Y,,,,,,,Y
206,11317538056,St Anthony's Catholic School,,Business,PO Box 102,,,North Hobart,TAS,7002,,,3/12/2012,1/01/1959,Large,6,31-Dec,,,,,,Y,,,,,,,,Y,,,,,,,Y,,,,,,Y,,Y,,,Y,,,,Y,,,,,,,,,,,,,Y
207,11321413690,Gungyah Ngallingnee Aboriginal Corporation,,Business,"""The Tuckerbox""",8 Walker Street,Jubullum Village,TABULAM,NSW,2469,,,3/12/2012,12/12/1984,,8,30-Jun,,Y,,,,,,,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,Y
208,11321984065,ACPT - Belmore with McCallums Hill & Clemton Park,,Business,"Level 2, St Andrew's House",Sydney Square,,Sydney,NSW,2000,,,3/12/2012,1/01/2000,Small,15,31-Dec,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
209,11324703160,HALT (Hope Assistance Local Tradies),,Business,Room 40,1 Halford Street,,Castlemaine,VIC,3450,Australia,www.halt.org.au,11/01/2016,11/01/2015,Medium,4,30-Jun,,,,,,,Y,,,,Y,,,Y,,,,,,,,,,,Y,Y,,,,Y,Y,Y,,,Y,Y,,,,,,,,Y,,,,,Y
210,11325724500,Vivian Genevieve Weaver Library Fund Trust,,Business,165 Sutton St,,,Redcliffe,Queensland,4020,Australia,,3/12/2012,1/01/1964,Small,3,30-Jun,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,11326005224,Mental Health Association NSW Ltd,,Business,Suite 2.02 33-35 Saunders Street,,,Pyrmont,New South Wales,2009,Australia,www.wayahead.org.au,3/12/2012,1/01/1987,Medium,11,30-Jun,,Y,,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,Y,,,Y,Y,,,,,,,,Y,,,,,
212,11326046447,VICTORY COMMUNITY CHURCH INC,,Business,56-58 Bareena St,,,Canley Vale,New South Wales,2166,Australia,,21/04/2021,7/04/2021,,6,30-Jun,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
213,11328366859,The Gwen & Edna Jones Foundation,,Business,199 Koroit Street,,,WARRNAMBOOL,VIC,3280,Australia,,3/12/2012,1/01/1991,Medium,5,30-Jun,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
214,11330868226,Christ Lutheran Church Wudinna,,Business,22 Ballantyne St,,,Wudinna,South Australia,5652,Australia,,3/12/2012,1/01/1981,Small,5,30-Dec,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
215,11332089079,Pilgrims Of Zion Evangelical Lutheran Church Bookpurnong Inc,,Business,7 Schwarz Rd,,,Bookpurnong,South Australia,5333,Australia,,3/12/2012,1/01/1910,Small,7,31-Dec,,,,,Y,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,,Y,Y,Y,,Y,,,,Y,Y
216,11337944926,Pak Phioloi Ministry,,Business,245 Lakemba St,,,Lakemba,NSW,2195,,,14/09/2018,23/07/2018,Small,5,30-Jun,,,,,,,,,PAK,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,,,,,,,,,,Y,Y,Y,,Y,Y,,,,Y
217,11338057025,The Trustee For Edwards Foundation,,Business,65 Kensington Rd,,,South Yarra,Victoria,3141,Australia,,3/12/2012,1/01/2008,Small,5,30-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,11339249064,Walgett Local Aboriginal Land Council,,Business,87 Fox St,,,Walgett,New South Wales,2832,Australia,,3/12/2012,1/01/1983,Large,9,30-Jun,,Y,,,,,,,,Y,,,Y,,,,,,,,,,,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,Y,,,,,Y
219,11339370677,Uca - Winchelsea,,Business,30-32 Hesse St,,,Winchelsea,Victoria,3241,Australia,,3/12/2012,1/01/1977,Small,4,31-Dec,,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,Y,,,,,Y,Y,,,Y,Y,,,,,Y,,,Y,,,,,
220,11342479894,The Whibley Family Charitable Trust Foundation,,Business,44 Pirie Street,,,Adelaide,SA,5000,AUSTRALIA,,1/10/2014,1/10/2012,Small,7,30-Jun,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
221,11342844238,Harrietville Television Committee Inc,,Business,54 Bon Accord Trk,,,Harrietville,Victoria,3741,Australia,,3/12/2012,1/01/1997,Small,1,30-Jun,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,
222,11345673368,The Goldfields Indigenous Housing Organ Inc.,,Business,120 Egan St,,,Kalgoorlie,Western Australia,6430,Australia,http://giho.org.au/,3/12/2012,1/01/2002,Medium,7,30-Jun,,,,,,,,Y,,Y,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,,Y,Y,Y,,,Y,,,,Y,,Y,Y,,Y,,,,Y
223,11346132066,Kashrus Australasia Incorporated,,Business,,,,,,,,,3/12/2012,1/01/2004,Small,6,31-Dec,,Y,,,,,,,NZL,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,
224,11346174035,Ecumenical Social Justice Group / Western Suburbs Inc,,Business,229 Taringa Pde,,,Taringa,Queensland,4068,Australia,,3/12/2012,1/01/2001,Small,4,31-Dec,,,,Y,,,,,,,,,,,,Y,Y,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,
225,11355603083,St Mary Mackillop Kindergartens,Catholic Kindergartens and Care,Business,2 Gardenia Ave,,,Kirwan,Qld,4817,,www.earlylearning.tsv.catholic.edu.au,3/12/2012,1/01/2012,Large,5,31-Dec,,,,Y,,,,,,,,,,Y,,,,,,,,,,Y,,,,,Y,Y,,,,Y,,,Y,,,,,Y,,Y,,,,,
226,11358382701,Melaleuca Home For The Aged Inc,,Business,71-73 Mary St,,,East Devonport,Tasmania,7310,Australia,www.melaleucacare.org.au,3/12/2012,1/01/1977,Large,12,30-Jun,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,
227,11362347337,BoyiMarni Connections Inc,,Business,78 Barker St,,,Casino,New South Wales,2470,Australia,www.boyimarni.org.au,21/02/2023,19/12/2022,,6,30-Jun,,,,,,,,,,Y,,,,,,,,,,,,Y,,Y,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,,,Y,,Y,Y,Y,Y,,Y,,Y
228,11363125088,EDUCATION WITHOUT BORDERS (AUSTRALIA) INCORPORATED,,Business,7 Marne St,,,Vaucluse,New South Wales,2030,Australia,http://www.saff.org.au,31/01/2019,28/09/2018,Small,11,30-Jun,,,,,,,,,,Y,,,,Y,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
229,11365315258,Community Information & Support Victoria Inc,,Business,L 9 Se 907 343 Little Collins St,,,Melbourne,Victoria,3000,Australia,www.cisvic.org.au,3/12/2012,1/01/1970,Large,4,30-Jun,,,,,,,Y,,,Y,,,,,,Y,,,Y,,,Y,,,Y,Y,,,,,Y,,Y,,,,,,,,,,,,,,,,Y
230,11367639008,Crystal Brook District Retirement Village Association Inc,,Business,2 Eyre Rd Ex,,,Crystal Brook,South Australia,5523,Australia,https://crystalbrookretirementvillage.webs.com/,3/12/2012,1/01/2002,Small,5,30-Jun,,,,,Y,,,,,Y,,,Y,,Y,,Y,Y,Y,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,
231,11368296901,Hornsby Presbyterian Church,,Business,168 Chalmers St,,,Surry Hills,New South Wales,2010,Australia,,1/01/2017,1/01/2017,Small,5,31-Dec,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
232,11368757143,Historic Heart of Perth Inc,,Business,Off 3 338 Barker Rd,,,Subiaco,Western Australia,6008,Australia,https://historicheart.com/,24/08/2016,24/08/2016,Small,9,30-Jun,,,,,,,,,,,,,Y,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,11370077815,Toowong Mandarin Congregation of Jehovah's Witnesses,,Business,73 Josling St,,,Toowong,Queensland,4066,Australia,,3/12/2012,,Small,4,31-Aug,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
234,11370084009,Immanuel Lutheran School Gawler Association Incorporated,,Business,11 Lyndoch Road,,,Gawler East,SA,5118,Australia,http://www.ilsg.sa.edu.au,3/12/2012,1/01/1985,Large,9,31-Dec,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
235,11370292497,Oakleigh Church of Christ,,Business,43 Warrigal Rd,,,Hughesdale,Victoria,3166,Australia,http://oakleighchurch.org.au,3/12/2012,1/01/1916,Small,7,31-Dec,,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,
236,11374523786,The Henry Doubleday Research Association Of Australia Inc.,,Business,PO Box 468,,,Richmond,New South Wales,2753,Australia,https://www.facebook.com/groups/164367556914688,3/12/2012,1/01/1970,Small,4,31-Dec,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,,,,Y,,,,,,,,,,,,,,Y
237,11374693055,Diabetes Association Of The Nt Inc,,Business,Po Box 40113,,,Casuarina,Northern Territory,811,Australia,www.healthylivingnt.org.au,3/12/2012,1/01/1980,Medium,9,30-Jun,,,Y,,,,,,,Y,,,,,Y,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,,,Y,Y,,,,,Y,Y,,Y,Y,Y,,,Y
238,11376089527,Maida Vale Baptist Community Service Inc.,,Business,24 Edney Rd,,,High Wycombe,Western Australia,6057,Australia,www.mvbc.org.au/home,3/12/2012,1/01/1981,Small,4,30-Jun,,,,,,,,Y,,Y,,,,,,,,,,,,Y,,,,Y,,,,,Y,,Y,,,Y,,,,,,Y,,,Y,,Y,Y,
239,11387942042,Gundoo Aboriginal Corporation,Gundoo Day care; Gundoo Early Learning centre,Business,Gundoo Early Childhood Learning Centre,Fisher Street,,CHERBOURG,QLD,4605,AUSTRALIA,,3/12/2012,6/11/1990,,8,30-Jun,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,
240,11388219100,Bible Foundation Church Mandurah,Bible Foundation Church Baldivis,Business,4 Wannyne St,,,Mandurah,Western Australia,6210,Australia,,27/10/2021,27/10/2021,Small,8,30-Jun,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,Y,,,,Y,Y,,,Y,Y,,,,,,,,,,,,,Y
241,11389597881,South Melbourne Life Saving Club Inc,,Business,72B Beaconsfield Parade,,,Albert Park,VIC,3206,Australia,https://www.southmelbournelsc.com.au,3/12/2012,1/01/1913,Small,6,30-Jun,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,Y,,Y,,,Y,Y,,,Y,,,,,,,,,,,,,
242,11390131121,Mustard Leadership Australia Inc,,Business,12 John St,,,Kew,Victoria,3101,Australia,http://www.mustard.org.au,3/12/2012,1/01/1995,Medium,7,31-Dec,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
243,11391123964,The Roman Catholic Archbishop Of Perth Willetton Catholic Parish, The Roman Catholic Archbishop Of Perth Willetton Catholic Parish,Business,5 Ingham Court,,,Willetton,WA,6155,AUSTRALIA,,3/12/2012,1/01/1975,Small,7,30-Jun,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
244,11391301149,Greek Orthooox Archdiocese Ofaustralia Parish Of Coburg And Pascoevale,GREEK ORTHODOX PARISH OF THE PRESENTATION OF OUR LORD PHILOPTOHOS,Business,29 VICTORIA STREET,,,COBURG,VIC,3058,AUSTRALIA,,3/12/2012,1/01/1980,Medium,8,31-Dec,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
245,11393286556,The Trustee For Rotary International District 9455 Youth Exchange Scholarship Trust Fund,,Business,,,,,,,Australia,,3/12/2012,1/01/1997,Small,3,30-Jun,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y
246,11397137539,Animal Welfare League Of South Australia Inc,,Business,1-19 Cormack Rd,,,Wingfield,South Australia,5013,Australia,awl.org.au,3/12/2012,1/01/1964,Large,11,30-Jun,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
247,11397753037,Belair Uniting Church,,Business,18 Sheoak Road,,,Belair,SA,5052,Australia,belairunitingchurch.org,3/12/2012,1/01/1977,Small,4,31-Dec,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
248,11398472268,Society for Orphaned Armenian Relief (SOAR) - Sydney Incorporated,,Business,31 Carmen Dr,,,Carlingford,New South Wales,2118,Australia,https://www.soar-us.org,3/08/2015,1/08/2015,Small,8,30-Jun,,,,,,,,,"ARM, USA",Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,11400162559,Sydney Assembly Hall of Jehovah's Witnesses,,Business,100 Raby Rd,,,Catherine Field,New South Wales,2557,Australia,,3/12/2012,,Small,3,31-Aug,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
250,11400479679,School Of Distance Education P&C Bourke,,Business,Bourke-Walgett School of Distance Education,Green Street,,Bourke,NSW,2840,Australia,https://bourkewalg-d.schools.nsw.gov.au,3/12/2012,,Small,4,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,
251,11400505189,South Eastern Nursing & Home Care Assn Inc,,Business,12 Somerville St,,,Sorell,Tasmania,7172,Australia,www.secommunitycare.com.au,3/12/2012,1/01/1970,Large,10,30-Jun,,,,,,Y,,,,Y,,,,,Y,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,Y,,,,Y,,,
252,11401466956,Catholic Parish Of St Benedict Broadway,,Business,104 Broadway,,,Broadway,NSW,2008,AUSTRALIA,,3/12/2012,31/12/1837,Small,8,30-Jun,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
253,11403204077,Ballymore Kindergarten & Preschool Association Inc,,Business,Ballymore Herston Kindergarten,,,Herston,Queensland,4006,Australia,www.ballymorekindy.com.au,3/12/2012,1/01/1973,Small,4,31-Dec,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
254,11403509906,St Marys Catholic Church,,Business,Clegg Road,,,Mount Evelyn,VIC,3796,,https://www.stmarysmtevelyn.org.au,3/12/2012,1/01/1979,Small,7,31-Dec,,,,,,,Y,,,,,,,,,,,,,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
255,11403715678,Sunnybank Wesleyan Methodist Church,,Business,105 Station Rd,,,Sunnybank,Queensland,4109,Australia,,1/01/2014,2/01/2014,Small,4,30-Jun,,,,Y,,,,,,,,,,,,,,,,,Y,,,,Y,,Y,,,,Y,,,,,,,,,,,,,,,,,,
256,11403984944,VOF Charity Incorporated,,Business,16-18 High St,,,Frankston,Victoria,3199,Australia,,16/04/2019,16/04/2019,Small,8,30-Jun,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,Y,Y,,,,,,Y,Y,,,Y,,,,Y,Y,Y,,,Y,,,,
257,11404462191,Hope Christian Church Melbourne Inc,,Business,U 3 29 Business Park Dr,,,Notting Hill,Victoria,3168,Australia,www.hopemelbourne.com,3/12/2012,1/01/1990,Medium,8,30-Jun,,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,Y,Y,,,,Y,Y,,,,Y,,,,,,,,,,,,,Y
258,11407452786,MERCY METHODIST CHURCH,,Business,Cnr Ham and Wishart Road,,,Wishart,QLD,4122,Australia,,29/12/2019,29/12/2019,Small,9,30-Jun,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,Y,,Y,,Y,,,,Y,,,,,,,,,,,,,,
259,11407494755,Gr8Motive Aboriginal and Torres Strait Islander Corporation,,Business,2/3 Windarra Street,,,Woree,QLD,4868,Australia,https://www.gr8motive.org.au/,29/05/2020,1/11/2016,,7,30-Jun,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,
260,11408704415,Uca - Canowindra,Uniting Church Canowindra,Business,1108 Toogong Rd,,,Canowindra,New South Wales,2804,Australia,,3/12/2012,1/01/1977,Small,2,30-Jun,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,Y,Y,Y,,,Y,,,,,,Y,,Y,Y,,,,
261,11408712272,Thirlmere Public School Parents And Citizens Association,,Business,Oaks Road,,,Thirlmere,NSW,2572,Australia,,3/12/2012,,Small,1,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
262,11411225987,Montmorency Community Church,,Business,24 Mayona Rd,,,Montmorency,Victoria,3094,Australia,www.montycc.org,3/12/2012,,Small,6,31-Dec,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
263,11411628568,UCA - Elanora Uniting Church,,Business,17 Applecross Way,,,Elanora,Queensland,4221,Australia,https://elanorauniting.com.au/,3/12/2012,1/01/1977,Small,8,31-Dec,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,Y
264,11413518185,Krosswerdz Incorporated,,Business,,,,,,,,www.krosswerdz.com,3/12/2012,1/01/2008,Small,7,30-Jun,,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,Y,,,Y,,Y,Y,,,,Y,,,,,,,,,,,,,,Y
265,11413745482,Southern Eyre Arts Incorporated,,Business,23 Wavell Rd,,,Port Lincoln,South Australia,5606,Australia,www.saltfestival.com.au,9/05/2016,11/01/2016,,13,30-Jun,,,,,Y,,,,,,,,Y,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,Y,Y,,,,Y
266,11414298113,The Game Face Game Changer Incorporated,,Business,,,,,,,Australia,http://gamefaceon.com.au/game-changer/,16/05/2019,16/05/2019,Small,12,30-Jun,,,,,,,Y,,,,Y,,,Y,Y,,,,,,,,,,Y,,Y,,,,Y,Y,Y,,,Y,,,,Y,,,,,,,,,Y
267,11416414259,Butchers Creek Hall Association Incorporated,,Business,314 Glen Allyn Rd,,,Glen Allyn,Queensland,4885,Australia,,3/12/2012,1/01/1947,Small,3,30-Jun,,,,Y,,,,,,,,,,,,,,,Y,,,,,,Y,Y,Y,,Y,,Y,,,,Y,,,,,,,,,,,,,,Y
268,11421798464,St Stephens Belrose Kindergarten Inc,,Business,St Stephens Kindergarten,,,Frenchs Forest,New South Wales,2086,Australia,http://www.ststephensbelrosekindergarten.org.au,3/12/2012,1/01/1970,Large,6,31-Dec,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,
269,11424274834,Bradfordville P & C Association,,Business,Bradfordville Public School,,,Goulburn,New South Wales,2580,Australia,,3/12/2012,1/01/2000,Small,6,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
270,11429394461,Fairfield Christian Family,,Business,51 Cross St,,,Fairfield,Queensland,4103,Australia,www.fcfchurch.org.au,3/12/2012,1/01/1940,Medium,4,31-Dec,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
271,11429870417,LAKE MACQUARIE MUSIC SOCIETY INCORPORATED,,Business,1 Baikie Cres,,,Charlestown,New South Wales,2290,Australia,lakemacquariemusicsociety.org.au,7/09/2022,30/01/1980,,4,31-Dec,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,Y,Y,,,Y,Y,Y,,Y,Y,Y,,,,,,Y,,,,,,,Y
272,11434864088,Woolgoolga Surf Life Saving Club Inc.,Number 1 Ocean Street,Business,1 Ocean Street,,,Woolgoolga,NSW,2456,Australia,http://www.woolgoolgaslsc.com,3/12/2012,1/01/1932,Small,4,30-Apr,,Y,,,,,,,,Y,,,,,,,,,,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
273,11434932938,Brookes Street Nambour Community Kindergarten & Preschool Association Inc,,Business,17 Brookes St,,,Nambour,Queensland,4560,Australia,https://www.brookesstreetkindynambour.com/,3/12/2012,1/01/1968,Medium,7,30-Dec,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
274,11435026358,Brothers of St John of God Provincial Office,,Business,PO Box BN1055,,,Burwood North,NSW,2134,Australia,www.oh.org.au,3/12/2012,1/01/1947,Medium,5,30-Jun,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,
275,11435957518,IHOP Linking the Islands Trust Fund,,Business,34-36 Clithero Ave,,,Buderim,Queensland,4556,Australia,,25/11/2013,25/11/2013,Small,3,30-Jun,,,,Y,,,,,,Y,,,,,,,,,,,,Y,,Y,,,,,,Y,,,Y,,,,,,,Y,,Y,,,,,,,
276,11437186326,Tian Ci Xiang Zhen Holy Dao Association Inc,,Business,,,,,,,Australia,,3/12/2012,1/01/2010,Small,5,30-Jun,,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,
277,11437953196,Carlisle Filipino Congregation of Jehovah's Witnesses,,Business,1 Glennis Cl,,,Gosnells,Western Australia,6110,Australia,,17/12/2015,1/01/2016,Small,4,30-Aug,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
278,11443064118,The Parish Of St John The Evangelist Epping,,Business,,,,,,,Australia,www.epping.melbourneanglican.org.au,3/12/2012,1/01/1964,Small,4,30-Sep,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,11447662391,Nigel & Annette Clutterbuck Charity Trust,,Business,115 Direction Dr,,,Otago,Tasmania,7017,Australia,,6/06/2019,6/06/2019,Small,7,30-Jun,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
280,11452411243,The Trustee For Mid Richmond Education Fund,,Business,Po Box 49,,,Evans Head,New South Wales,2473,Australia,www.midrichmondeducationfund.org,3/12/2012,1/01/2011,Small,5,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
281,11453217641,MENTONE RSL SUB-BRANCH PATRIOTIC FUND,,Business,ANZAC House 4 Collins Street,,,MELBOURNE,VIC,3000,,,3/12/2012,1/01/1916,Small,13,31-Dec,,,,,,,Y,,,,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,
282,11453873584,Atlas of Life in the Coastal Wilderness Incorporated,,Business,86 Old Soldiers Rd,,,Wolumla,New South Wales,2550,Australia,https://atlasoflife.org.au,17/08/2022,3/07/2013,,11,30-Jun,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
