ID,ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,Gay_Lesbian_Bisexual,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth
159,11236340422,St Johns Evangelical Lutheran Church Burra,,Business,14 Ludgvan Street,,,Burra,SA,5417,Australia,,3/12/2012,1/01/1967,Small,2,31-Dec,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,
160,11240170997,Riding For The Disabled Association (NSW) The Moss Vale Centre,,Business,PO Box 118,,,Moss Vale,NSW,2577,,,3/12/2012,1/01/1980,Small,9,31-Dec,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,
161,11240691077,Shalom Media Australia Limited,,Business,23 Vianney Cres,,,Toongabbie,New South Wales,2146,Australia,www.shalomworld.org,2/06/2014,7/04/2014,Medium,8,30-Jun,,,,,,,Y,,CAF,,,,,,,,,,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
162,11244559772,Combined Pensioners & Superannuants Association Of NSW Incorporated,,Business,L 3 17-21 Macquarie St,,,Parramatta,New South Wales,2150,Australia,www.cpsa.org.au,3/12/2012,1/01/1931,Medium,11,30-Jun,,Y,,Y,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
163,11246123715,C A Camps Trust,,Business,U 30 23 Angas St,,,Meadowbank,New South Wales,2114,Australia,http://www.winmaleeccc.com.au,3/12/2012,1/01/1978,Small,10,30-Jun,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
164,11246181560,Bletchington Public School Parents and Citizens Association,,Business,Matthews Avenue,,,Orange,NSW,2800,Australia,https://bletchingt-p.schools.nsw.gov.au/community1.html,3/12/2012,1/01/1958,Small,1,30-Jun,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,Y,,,,Y,,,,,,,,Y,,,,,
165,11248418710,Bonnet Bay P&C Association,,Business,Bonnet Bay Primary School,,,Bonnet Bay,New South Wales,2226,Australia,,3/12/2012,1/01/1979,Small,3,31-Dec,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,
166,11248791547,Kent Street Community Kindergarten Inc,,Business,Beenleigh Community Preschool,,,Beenleigh,Queensland,4207,Australia,www.kentstreetcommunitykindergarten.com.au,3/12/2012,1/01/1963,Small,9,30-Sep,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,
167,11251242256,The Amasiko Partnership,,Business,U 2 39 Dresden St,,,Heidelberg Heights,Victoria,3081,Australia,www.theamasikopartnership.com,20/11/2017,6/11/2017,Small,3,30-Jun,,,,,,,,,UGA,,,,,Y,Y,,,,Y,,,,,,Y,Y,Y,Y,Y,,Y,,Y,,,,,,,,,,,Y,,,,,Y
168,11252634894,Inglewood-Bridgewater RSL Sub-Branch Patriotic Fund,,Business,ANZAC House 4 Collins Street,,,MELBOURNE,VIC,3000,,,3/12/2012,17/12/1953,Small,13,31-Dec,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,
